Report Date,Crime Category,count
2009-04-20,Larceny-Non Vehicle,34
2009-04-20,Robbery,6
2009-04-21,Agg Assault,7
2009-04-21,Auto Theft,11
2009-04-21,Burglary,27
2009-04-21,Larceny-From Vehicle,26
2009-04-21,Larceny-Non Vehicle,25
2009-04-21,Robbery,3
2009-04-22,Agg Assault,6
2009-04-22,Auto Theft,12
2009-04-22,Burglary,25
2009-04-22,Larceny-From Vehicle,32
2009-04-22,Larceny-Non Vehicle,20
2009-04-22,Robbery,4
2009-04-23,Agg Assault,6
2009-04-23,Auto Theft,26
2009-04-23,Burglary,29
2009-04-23,Larceny-From Vehicle,21
2009-04-23,Larceny-Non Vehicle,27
2009-04-23,Robbery,7
2009-04-24,Agg Assault,6
2009-04-24,Auto Theft,19
2009-04-24,Burglary,32
2009-04-24,Larceny-From Vehicle,20
2009-04-24,Larceny-Non Vehicle,25
2009-04-24,Robbery,4
2009-04-25,Agg Assault,12
2009-04-25,Auto Theft,17
2009-04-25,Burglary,9
2009-04-25,Larceny-From Vehicle,29
2009-04-25,Larceny-Non Vehicle,29
2009-04-25,Robbery,6
2009-04-26,Agg Assault,8
2009-04-26,Auto Theft,12
2009-04-26,Burglary,19
2009-04-26,Larceny-From Vehicle,20
2009-04-26,Larceny-Non Vehicle,15
2009-04-26,Robbery,9
2009-04-27,Agg Assault,8
2009-04-27,Auto Theft,15
2009-04-27,Burglary,24
2009-04-27,Larceny-From Vehicle,26
2009-04-27,Larceny-Non Vehicle,23
2009-04-27,Robbery,6
2009-04-28,Agg Assault,3
2009-04-28,Auto Theft,14
2009-04-28,Burglary,32
2009-04-28,Larceny-From Vehicle,25
2009-04-28,Larceny-Non Vehicle,21
2009-04-28,Robbery,6
2009-04-29,Agg Assault,8
2009-04-29,Auto Theft,15
2009-04-29,Burglary,35
2009-04-29,Larceny-From Vehicle,32
2009-04-29,Larceny-Non Vehicle,21
2009-04-29,Robbery,12
2009-04-30,Agg Assault,11
2009-04-30,Auto Theft,13
2009-04-30,Burglary,22
2009-04-30,Larceny-From Vehicle,37
2009-04-30,Larceny-Non Vehicle,26
2009-04-30,Robbery,5
2009-05-01,Agg Assault,6
2009-05-01,Auto Theft,16
2009-05-01,Burglary,26
2009-05-01,Larceny-From Vehicle,32
2009-05-01,Larceny-Non Vehicle,26
2009-05-01,Robbery,8
2009-05-02,Agg Assault,6
2009-05-02,Auto Theft,21
2009-05-02,Burglary,16
2009-05-02,Larceny-From Vehicle,29
2009-05-02,Larceny-Non Vehicle,25
2009-05-02,Robbery,4
2009-05-03,Agg Assault,3
2009-05-03,Auto Theft,26
2009-05-03,Burglary,15
2009-05-03,Larceny-From Vehicle,28
2009-05-03,Larceny-Non Vehicle,12
2009-05-03,Robbery,6
2009-05-04,Agg Assault,9
2009-05-04,Auto Theft,23
2009-05-04,Burglary,16
